Altium Designer Pick and Place Locations
D:\GH0050\prj\pcb\Others\V1.1\ctrl\Project Outputs for controller_V1.1\Pick Place\Pick Place for controller_V1.1.txt

========================================================================================================================
File Design Information:

Date:       22/07/24
Time:       12:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                               
R39        100                 TopLayer    0603R                  4875.866      3194.000      180      R                                                                                                                         
T1         TP                  TopLayer    M3                     5629.921      196.850       0        ""                                                                                                                        
T2         TP                  TopLayer    M3                     5629.921      5708.661      0        ""                                                                                                                        
T3         TP                  TopLayer    M3                     118.110       196.850       0        ""                                                                                                                        
T4         TP                  TopLayer    M3                     118.110       5708.661      0        ""                                                                                                                        
P8         "Header 12X2"       BottomLayer XH2.54_2x12            5573.000      3620.000      90       "Header, 12-Pin, Dual row"                                                                                                
D4         LL4148              TopLayer    DO-213AB/LL34/MiniMELF 4562.000      5370.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
D13        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 4435.000      5371.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
D14        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 4305.000      5370.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
D16        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 5020.000      5370.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
D17        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 4890.000      5370.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
D18        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 4762.000      5370.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
